12:24,02.12.2019,doanw,18
12:27,02.12.2019,90381,20
12:22,02.12.2019,wawt,30
09:43,03.12.2019,hig,31
12:22,02.12.2019,asta,41
23:26,18.11.2019,xxe3,64
13:04,12.11.2019,xgame,335
09:31,12.11.2019,homnay,378
18:34,07.11.2019,over,435
20:34,07.11.2019,newWin,1598
